Jm+Bp,Ti+Sl,Tc,Hs,Mf,Pl,Pi,Am,Ai,Ea,Tq,Mp,Calc,Rs,Ab,As,Ts,Ad,TO,PH,TG,Tt,Ph
38,3,4,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,2,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,3,2,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1,0,1,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,3,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,2,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1,1,4,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,2,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,0,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327,0,2,6,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,1,8,24,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0,22,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2,13,8,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,2,4,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2,4,5,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2,3,1,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,8,10,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,5,1,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,9,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
